พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
เมืองกระบี่,"194,375.50","13,058.50","207,434.00","179,081,953.00"
เขาพนม,"357,095.50","30,887.00","387,982.50","2,063,144,461.39"
เกาะลันตา,"57,111.01","9,343.00","66,454.01","47,274,543.94"
คลองท่อม,"395,447.00","37,293.00","432,740.00","428,089,974.05"
อ่าวลึก,"332,422.00","51,999.00","384,421.00","2,600.00"
ปลายพระยา,"208,203.00","39,524.00","247,727.00","623,401,385.67"
ลำทับ,"130,239.00","14,499.00","144,738.00","11,107,122.26"
เหนือคลอง,"115,018.00","42,883.00","157,901.00","1,232,688,794.00"
เมืองกาญจนบุรี,"10,706.50","4,832.25","15,538.75","20,163,592.13"
ไทรโยค,"40,438.00","12,543.25","52,981.25","144,783,035.00"
มะขาม,"2,258.00",133,"2,391.00","5,047,900.00"
บ่อพลอย,"3,085.50","6,278.00","9,363.50","2,317,942.50"
มะขาม,35,45,80,"16,000.00"
สะเดา,0,60,60,0
ศรีสวัสดิ์,"5,463.25","3,850.13","9,313.38","2,879,975.00"
มะขาม,"1,536.00","1,125.00","2,661.00","128,000.00"
สะเดา,0,11,11,0
ท่ามะกา,946.5,197.25,"1,143.75","2,582,960.00"
ท่าม่วง,"3,726.00","3,599.50","7,325.50","12,557,745.08"
ทองผาภูมิ,"63,996.75","26,235.50","90,232.25","60,278,790.47"
มะขาม,116,15,131,"12,540.00"
สังขละบุรี,"32,741.00","5,973.00","38,714.00","12,154,362.67"
พนมทวน,"1,064.25",170,"1,234.25","1,321,237.50"
มะขาม,0,16,16,0
เลาขวัญ,"3,918.00","7,110.00","11,028.00","7,440,885.64"
ด่านมะขามเตี้ย,"5,821.00","3,684.00","9,505.00","7,715,507.84"
หนองปรือ,"3,330.25","7,227.00","10,557.25","4,760,357.00"
มะขาม,31,12,43,0
ห้วยกระเจา,468,"13,694.50","14,162.50","74,876.50"
เมืองกาฬสินธุ์,327.25,671,998.25,"7,225.00"
นามน,"1,026.32","2,507.86","3,534.18","308,605.00"
มะขาม,5,0,5,500
กมลาไสย,203.9,139,342.9,"65,423.00"
ร่องคำ,"1,884.00",522,"2,406.00","633,950.00"
กุฉินารายณ์,"35,991.75","12,139.00","48,130.75","2,299,695.00"
มะขาม,0,20,20,0
เขาวง,"2,338.50",748,"3,086.50","960,010.00"
มะขาม,26,17,43,"2,000.00"
ยางตลาด,"1,404.00","1,807.00","3,211.00","14,550.00"
ห้วยเม็ก,"5,346.00","5,494.00","10,840.00","1,331,002.50"
สหัสขันธ์,"7,402.25","8,981.00","16,383.25","112,755.00"
คำม่วง,"12,430.00","6,374.00","18,804.00","199,700.00"
ท่าคันโท,"11,043.00","11,312.00","22,355.00","628,575.00"
หนองกุงศรี,"6,366.00","16,595.25","22,961.25","1,346,700.00"
มะขาม,5,5,10,"1,000.00"
สมเด็จ,"6,306.00","5,398.00","11,704.00","27,468.00"
ห้วยผึ้ง,"4,876.00","8,554.00","13,430.00","2,000.00"
สามชัย,"6,155.00","7,189.53","13,344.53","925,550.00"
นาคู,"3,942.40","4,972.47","8,914.87","1,427,324.60"
มะขาม,40,26,66,"24,811.00"
ดอนจาน,"5,051.00","6,733.50","11,784.50","2,600.00"
ฆ้องชัย,4,70,74,0
เมืองกำแพงเพชร,"23,763.00","15,605.75","39,368.75","12,402,246.00"
ไทรงาม,"2,901.00",197,"3,098.00","8,330,751.38"
คลองลาน,"3,873.00","10,755.00","14,628.00","1,030,000.00"
มะขาม,100,25,125,0
ขาณุวรลักษบุรี,"4,920.00","18,981.00","23,901.00","5,787,700.00"
สะเดา,0,"1,250.00","1,250.00",0
คลองขลุง,"5,284.25","4,015.75","9,300.00","2,000.00"
สะเดา,12,111,123,0
พรานกระต่าย,"4,449.00","28,981.00","33,430.00",0
ลานกระบือ,"1,352.50",454,"1,806.50","77,930.00"
ทรายทองวัฒนา,"1,671.00",665,"2,336.00","4,247,299.85"
ปางศิลาทอง,"4,315.00","3,668.00","7,983.00","1,986,815.87"
บึงสามัคคี,"6,471.00","1,255.00","7,726.00","19,589,521.00"
สะเดา,0,20,20,0
โกสัมพีนคร,"3,509.00",220,"3,729.00","2,892,936.15"
เมืองขอนแก่น,"3,534.00","3,086.00","6,620.00","7,047,180.00"
บ้านฝาง,"1,291.00","1,600.00","2,891.00","873,365.00"
มะขาม,0,14,14,0
พระยืน,486.25,454.25,940.5,"430,250.00"
มะขาม,9,97,106,0
หนองเรือ,894.75,"1,998.75","2,893.50",0
ชุมแพ,"4,403.50","9,438.50","13,842.00","17,599,100.00"
มะขาม,862,"2,003.00","2,865.00","912,300.00"
สีชมพู,"3,589.25","3,128.00","6,717.25","2,320,071.50"
มะขาม,5,34,39,450
น้ำพอง,"5,467.00","5,869.00","11,336.00","7,251,769.00"
