พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
กระบี่,"1,789,911.01","239,486.50","2,029,397.51","4,584,790,834.31"
กรุงเทพมหานคร,"5,637.25","6,896.50","12,533.75","16,885,878.00"
กาญจนบุรี,"175,705.00","95,394.38","271,099.38","279,031,267.33"
กาฬสินธุ์,"112,097.37","100,207.61","212,304.98","10,293,133.10"
กำแพงเพชร,"62,508.75","84,797.50","147,306.25","56,347,200.25"
ขอนแก่น,"89,872.33","76,879.08","166,751.41","120,176,581.21"
จันทบุรี,"1,287,739.43","182,340.07","1,470,079.50","1,140,031,918.98"
ฉะเชิงเทรา,"223,199.69","85,388.96","308,588.65","140,041,931.52"
ชลบุรี,"335,052.00","253,759.12","588,811.12","256,255,208.41"
ชัยนาท,"14,042.90","10,225.35","24,268.25","16,440,825.33"
ชัยภูมิ,"113,057.33","85,306.10","198,363.43","34,295,422.16"
ชุมพร,"1,823,415.35","410,765.75","2,234,181.10","1,972,102,861.80"
เชียงราย,"596,660.89","254,842.95","851,503.84","279,013,872.82"
เชียงใหม่,"546,233.00","59,290.25","605,523.25","388,347,353.00"
ตรัง,"1,506,355.55","237,129.97","1,743,485.52","2,328,269,066.53"
ตราด,"503,343.25","77,564.50","580,907.75","474,951,334.19"
ตาก,"74,560.59","43,845.87","118,406.46","23,021,073.00"
นครนายก,"24,806.50","7,295.50","32,102.00","25,324,788.08"
นครปฐม,"43,007.22","12,389.81","55,397.03","122,141,108.04"
นครพนม,"229,756.00","149,212.93","378,968.93","93,920,570.49"
นครราชสีมา,"100,648.00","90,677.28","191,325.28","21,923,379.48"
นครศรีธรรมราช,"2,352,101.80","477,091.43","2,829,193.23","3,438,090,517.43"
นครสวรรค์,"31,045.35","26,336.45","57,381.80","43,049,856.48"
นนทบุรี,"6,779.75","8,156.11","14,935.86","4,810,011.45"
นราธิวาส,"1,131,515.17","188,683.73","1,320,198.90","443,098,840.27"
น่าน,"126,280.17","174,601.97","300,882.14","26,074,016.00"
บึงกาฬ,"730,771.75","172,191.75","902,963.50","326,825,947.78"
บุรีรัมย์,"256,813.35","129,373.48","386,186.83","238,437,114.17"
ปทุมธานี,"35,579.57","24,353.82","59,933.39","141,667,741.16"
ประจวบคีรีขันธ์,"1,083,516.48","185,747.78","1,269,264.26","982,267,782.39"
ปราจีนบุรี,"68,987.88","62,372.00","131,359.88","49,378,949.85"
ปัตตานี,"23,215.33","1,605.75","24,821.08","514,052.00"
พระนครศรีอยุธยา,"4,319.50","10,883.50","15,203.00","4,551,099.75"
พระนครศรีอยุธยา,2,223.5,225.5,0
