AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG,province,district
4,910106,ต. เกาะสาหร่าย,Ko Sarai,9101,,Mueang Satun,91,จ. สตูล,Satun,6.546,99.706,สตูล,
4,210114,ต. มาบตาพุด,Maptaphut,2101,อ. เมืองระยอง,Mueang Rayong,21,จ. ระยอง,Rayong,12.645999999999999,101.171,ระยอง,เมืองระยอง
4,210114,ต. มาบตาพุด,Maptaphut,2101,อ. เมืองระยอง,Mueang Rayong,21,จ. ระยอง,Rayong,12.645,101.17,ระยอง,เมืองระยอง
4,210114,ต. มาบตาพุด,Maptaphut,2101,อ. เมืองระยอง,Mueang Rayong,21,จ. ระยอง,Rayong,12.649000000000001,101.17399999999999,ระยอง,เมืองระยอง
4,210114,ต. มาบตาพุด,Maptaphut,2101,อ. เมืองระยอง,Mueang Rayong,21,จ. ระยอง,Rayong,12.644,101.169,ระยอง,เมืองระยอง
4,860116,ต. หาดทรายรี,Hat Sai Ri,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,10.459000000000001,99.40299999999999,ชุมพร,เมืองชุมพร
4,860706,ต. ด่านสวี,Dan Sawi,8607,อ. สวี,Sawi,86,จ. ชุมพร,Chumphon,10.290999999999999,99.241,ชุมพร,สวี
4,440103,ต. ท่าตูม,Tha Tum,4401,อ. เมืองมหาสารคาม,Mueang Maha Sarakham,44,จ. มหาสารคาม,Maha Sarakham,16.162,103.484,มหาสารคาม,เมืองมหาสารคาม
4,840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,9.708,99.675,สุราษฎร์ธานี,เกาะสมุย
4,840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,9.796,99.713,สุราษฎร์ธานี,เกาะสมุย
4,840401,ต. อ่างทอง,Ang Thong,8404,อ. เกาะสมุย,Ko Samui,84,จ. สุราษฎร์ธานี,Surat Thani,9.677,99.65899999999999,สุราษฎร์ธานี,เกาะสมุย
4,200901,ต. สัตหีบ,Sattahip,2009,อ. สัตหีบ,Sattahip,20,จ. ชลบุรี,Chon Buri,12.610999999999999,100.889,ชลบุรี,สัตหีบ
4,921003,ต. ตะเสะ,Tase,9210,อ. หาดสำราญ,Hat Samran,92,จ. ตรัง,Trang,7.0329999999999995,99.449,ตรัง,หาดสำราญ
4,860116,ต. หาดทรายรี,Hat Sai Ri,8601,อ. เมืองชุมพร,Mueang Chumphon,86,จ. ชุมพร,Chumphon,10.477,99.369,ชุมพร,เมืองชุมพร
4,860306,ต. ปากคลอง,Pak Khlong,8603,อ. ปะทิว,Pathio,86,จ. ชุมพร,Chumphon,10.862,99.486,ชุมพร,ปะทิว
4,860801,ต. ปากตะโก,Pak Tako,8608,อ. ทุ่งตะโก,Thung Tako,86,จ. ชุมพร,Chumphon,10.165,99.176,ชุมพร,ทุ่งตะโก
4,860306,ต. ปากคลอง,Pak Khlong,8603,อ. ปะทิว,Pathio,86,จ. ชุมพร,Chumphon,10.8,99.538,ชุมพร,ปะทิว
4,910106,ต. เกาะสาหร่าย,Ko Sarai,9101,อ. เมืองสตูล,Mueang Satun,91,จ. สตูล,Satun,6.672000000000001,99.844,สตูล,เมืองสตูล
