พื้นที่,เนื้อที่ปลูก,ผลผลิต
เมืองกระบี่,"2,417.00","557,125.00"
เขาพนม,"1,995.50","4,831,700.00"
เกาะลันตา,309,"865,450.00"
คลองท่อม,842,"348,862.00"
อ่าวลึก,"2,340.00","372,510.00"
ปลายพระยา,"1,207.00","574,445.00"
ลำทับ,181,620
เหนือคลอง,"1,431.00","3,793,752.00"
เมืองกาญจนบุรี,"158,612.00","874,021,660.00"
ไทรโยค,"128,963.05","446,779,365.00"
บ่อพลอย,"239,525.00","1,193,545,889.00"
ศรีสวัสดิ์,"71,527.25","68,521,800.00"
ท่ามะกา,"243,030.50","783,957,266.00"
ท่าม่วง,"193,322.75","571,661,793.00"
ทองผาภูมิ,"31,612.00","79,331,475.00"
สังขละบุรี,"10,627.00","21,098,800.00"
พนมทวน,"272,692.00","960,526,357.50"
เลาขวัญ,"305,447.00","633,889,250.48"
ด่านมะขามเตี้ย,"91,927.00","74,080,109.00"
หนองปรือ,"137,291.00","603,247,335.32"
ห้วยกระเจา,"185,658.87","227,538,800.00"
เมืองกาฬสินธุ์,"231,952.75","53,276,435.00"
นามน,"60,187.43","5,641,730.00"
กมลาไสย,"248,017.00","76,256,252.00"
ร่องคำ,"42,876.00","9,750,000.00"
กุฉินารายณ์,"219,588.75","114,823,950.00"
เขาวง,"93,611.00","27,453,680.00"
ยางตลาด,"256,260.62","224,104,975.00"
ห้วยเม็ก,"130,050.80","62,903,075.00"
สหัสขันธ์,"105,019.00","284,020,985.00"
คำม่วง,"115,686.50","175,290,112.00"
ท่าคันโท,"55,672.50","11,620,880.00"
หนองกุงศรี,"175,289.00","257,801,750.02"
สมเด็จ,"109,553.05","35,296,155.00"
ห้วยผึ้ง,"75,660.00","20,454,040.00"
สามชัย,"94,245.10","216,466,503.30"
นาคู,"72,200.75","31,037,977.10"
ดอนจาน,"65,665.09","34,900.00"
ฆ้องชัย,"97,780.00","141,250.00"
เมืองกำแพงเพชร,"549,130.24","2,145,582,970.00"
ไทรงาม,"331,194.00","1,033,634,635.00"
คลองลาน,"215,562.00","356,155,250.00"
ขาณุวรลักษบุรี,"569,895.06","1,323,200,403.72"
คลองขลุง,"233,980.00","113,667,500.00"
พรานกระต่าย,"316,768.00","419,733,600.00"
ลานกระบือ,"192,974.00","798,782,467.00"
ทรายทองวัฒนา,"113,531.75","800,651,950.00"
ปางศิลาทอง,"149,132.00","389,609,584.00"
บึงสามัคคี,"196,645.00","810,877,822.00"
