พื้นที่,เนื้อที่ปลูก,ผลผลิต
กระบี่,"10,722.50","11,344,464.00"
กรุงเทพมหานคร,"162,066.60","111,014,755.05"
กาญจนบุรี,"2,070,235.42","6,538,199,900.30"
กาฬสินธุ์,"2,249,315.34","1,606,374,649.42"
กำแพงเพชร,"2,937,594.05","8,296,272,523.72"
ขอนแก่น,"3,716,207.33","6,195,140,367.17"
จันทบุรี,"46,070.13","102,138,597.56"
ฉะเชิงเทรา,"982,475.81","821,974,099.25"
ชลบุรี,"461,715.87","945,297,127.10"
ชัยนาท,"1,338,526.50","2,374,770,334.00"
ชัยภูมิ,"3,053,583.99","4,794,711,365.25"
ชุมพร,"17,132.00","14,719,879.00"
เชียงราย,"2,056,995.44","1,127,297,036.16"
เชียงใหม่,"941,634.65","821,007,663.25"
ตรัง,"14,305.56","12,073,652.00"
ตราด,"38,129.50","63,329,816.58"
ตาก,"1,141,435.73","1,049,243,295.47"
นครนายก,"494,116.50","323,287,453.00"
นครปฐม,"623,034.75","1,301,630,601.86"
นครพนม,"1,548,063.74","616,325,807.13"
นครราชสีมา,"6,475,020.41","7,642,389,008.50"
นครศรีธรรมราช,"197,529.79","67,439,548.01"
นครสวรรค์,"4,262,058.96","8,037,162,820.89"
นนทบุรี,"156,204.36","99,866,804.65"
นราธิวาส,"46,092.06","21,017,447.00"
น่าน,"237,183.68","81,125,755.50"
บึงกาฬ,"517,943.59","179,641,306.00"
บุรีรัมย์,"3,538,135.37","3,318,871,432.64"
ปทุมธานี,"553,783.30","396,063,804.31"
ประจวบคีรีขันธ์,"557,680.41","1,137,417,455.10"
ปราจีนบุรี,"745,938.00","833,106,136.00"
ปัตตานี,"16,214.94","8,272,511.48"
พระนครศรีอยุธยา,"1,309,489.50","1,006,529,196.50"
พระนครศรีอยุธยา,"32,948.50","26,625,649.50"
พะเยา,"840,313.69","471,147,943.00"
พังงา,"8,764.31","14,487,023.25"
พัทลุง,"146,708.37","62,183,113.10"
พิจิตร,"2,289,547.27","1,281,824,615.00"
พิษณุโลก,"2,272,432.12","1,736,633,226.60"
เพชรบุรี,"514,874.15","497,319,161.00"
เพชรบูรณ์,"2,980,122.05","5,198,927,334.00"
แพร่,"587,707.13","352,027,872.06"
ภูเก็ต,"2,817.25","5,646,874.00"
มหาสารคาม,"2,497,928.20","1,569,833,321.27"
มุกดาหาร,"743,973.55","1,672,341,031.00"
แม่ฮ่องสอน,"354,947.25","239,655,001.50"
ยโสธร,"1,478,382.40","660,594,699.34"
ยะลา,"13,179.26","4,797,904.00"
ร้อยเอ็ด,"3,507,272.33","1,631,559,046.06"
ระนอง,"1,017.50","270,038.00"
ระยอง,"127,032.20","289,135,884.68"
ราชบุรี,"772,118.80","1,710,439,718.00"
ลพบุรี,"2,104,055.60","6,096,825,327.00"
ลำปาง,"760,606.30","551,068,507.60"
ลำพูน,"171,609.70","108,589,663.00"
เลย,"1,526,339.67","3,273,671,096.68"
ศรีสะเกษ,"3,332,418.82","1,372,411,409.86"
สกลนคร,"2,469,661.33","1,256,979,705.05"
สงขลา,"184,672.89","75,296,872.37"
สตูล,"20,413.09","9,623,053.17"
สมุทรปราการ,"47,972.90","25,435,880.00"
สมุทรสงคราม,"2,324.00","1,495,002.00"
สมุทรสาคร,"18,149.00","19,884,890.00"
สระแก้ว,"1,541,762.79","953,246,013.21"
สระบุรี,"769,884.75","2,880,468,443.08"
สิงห์บุรี,"375,946.35","618,313,859.70"
สุโขทัย,"1,994,658.00","3,753,615,015.93"
สุพรรณบุรี,"2,665,177.50","7,037,089,164.70"
สุราษฎร์ธานี,"47,370.06","65,100,188.09"
สุรินทร์,"3,271,759.62","1,742,231,216.90"
หนองคาย,"750,164.15","500,021,091.50"
หนองบัวลำภู,"1,421,123.89","4,910,220,685.43"
อ่างทอง,"500,034.25","510,989,152.42"
อำนาจเจริญ,"1,131,497.18","385,416,911.25"
อุดรธานี,"3,080,506.52","5,598,498,446.50"
อุตรดิตถ์,"997,125.74","574,300,459.50"
อุทัยธานี,"1,358,899.50","3,172,068,736.25"
อุบลราชธานี,"4,645,249.89","2,388,256,852.00"
