พื้นที่,เนื้อที่ยืนต้นทั้งหมด,,,ผลผลิตที่เก็บเกี่ยวได้
,(ไร่),,,(กิโลกรัม)
,ให้ผลผลิต,ยังไม่ให้ผล,รวม (ไร่),
,,,,
รวมทั้งหมด,"30,798,933.73","9,135,129.23","39,934,062.96","35,876,338,291.57"
กระบี่,"1,789,911.01","239,486.50","2,029,397.51","4,584,790,834.31"
เมืองกระบี่,"194,375.50","13,058.50","207,434.00","179,081,953.00"
ไม้ผล,"3,357.00",255,"3,612.00","2,906,272.00"
กล้วยไข่,30,27,57,"13,531.00"
กล้วยน้ำว้า,241,5,246,"189,918.00"
กล้วยหอม,113,10,123,"61,527.00"
เงาะ,690,0,690,"519,480.00"
จำปาดะ,7,5,12,"2,900.00"
ทุเรียน,904,64,968,"894,318.00"
ฝรั่ง,12,0,12,"5,905.00"
มังคุด,443,30,473,"786,658.00"
ลองกอง,904,70,974,"432,035.00"
ส้มโอ,13,44,57,0
ไม้ยืนต้น,"191,016.00","12,801.00","203,817.00","176,175,681.00"
ปาล์มน้ำมัน,"90,622.00","5,118.00","95,740.00","143,166,153.00"
มะพร้าว,"3,793.00",163,"3,956.00","6,783,650.00"
ยางพารา,"95,515.00","7,383.00","102,898.00","25,830,035.00"
สะตอ,911,110,"1,021.00","236,332.00"
ผักเหลียง(ผักเหมียง),175,27,202,"159,511.00"
สมุนไพรและเครื่องเทศ (รต.02),2.5,2.5,5,0
พริกไทย,2.5,2.5,5,0
เขาพนม,"357,095.50","30,887.00","387,982.50","2,063,144,461.39"
ไม้ผล,"1,349.00",227,"1,576.00","2,013,950.00"
เงาะ,410,0,410,"308,000.00"
ทุเรียน,353,111,464,"906,000.00"
มะนาว,24,5,29,"49,950.00"
มังคุด,206,57,263,"750,000.00"
ลองกอง,356,54,410,0
ไม้ยืนต้น,"355,746.50","30,660.00","386,406.50","2,061,130,511.39"
ปาล์มน้ำมัน,"195,342.00","12,932.00","208,274.00","2,029,703,607.00"
มะพร้าว,310,19,329,"1,273,212.00"
ยางพารา,"159,991.00","17,657.00","177,648.00","30,143,792.39"
สะตอ,103.5,52,155.5,"9,900.00"
เกาะลันตา,"57,111.01","9,343.00","66,454.01","47,274,543.94"
ไม้ผล,106,38,144,0
ขนุนหนัง,3,0,3,0
เงาะ,5,0,5,0
ทุเรียน,39,0,39,0
มะละกอ,7,0,7,0
มังคุด,25,15.5,40.5,0
ลองกอง,27,22.5,49.5,0
ไม้ยืนต้น,"57,005.01","9,294.00","66,299.01","47,274,543.94"
กาแฟ,1,5,6,0
ปาล์มน้ำมัน,"16,661.00","3,179.00","19,840.00","39,017,800.00"
มะพร้าว,"1,083.26",0,"1,083.26","212,000.00"
มะม่วงหิมพานต์,334,0,334,0
ยางพารา,"38,450.00","5,965.00","44,415.00","7,480,893.94"
สะตอ,381.75,141,522.75,"229,050.00"
หมาก,1,0,1,0
ผักเหลียง(ผักเหมียง),93,4,97,"334,800.00"
สมุนไพรและเครื่องเทศ (รต.02),0,11,11,0
กฤษณา,0,11,11,0
คลองท่อม,"395,447.00","37,293.00","432,740.00","428,089,974.05"
ไม้ผล,890,325,"1,215.00","335,224.00"
กล้วยน้ำว้า,140,150,290,"95,043.00"
เงาะ,152,0,152,"38,560.00"
ทุเรียน,128,3,131,"24,395.00"
มะนาว,31,48,79,"28,391.00"
มะละกอ,97,95,192,"56,389.00"
มังคุด,150,24,174,"58,280.00"
ลองกอง,192,5,197,"34,166.00"
ไม้ยืนต้น,"394,557.00","36,968.00","431,525.00","427,754,750.05"
กาแฟ,150,0,150,"36,500.00"
ปาล์มน้ำมัน,"213,555.00","22,052.00","235,607.00","401,046,902.00"
มะพร้าว,274,5,279,"214,058.00"
ยางพารา,"180,430.00","14,911.00","195,341.00","26,427,395.05"
สะตอ,148,0,148,"29,895.00"
