พื้นที่,เนื้อที่ปลูก,ผลผลิต
,(ไร่),
,,(กิโลกรัม)
รวมทั้งหมด,"96,845,157.10","125,234,998,062.90"
กระบี่,"10,722.50","11,344,464.00"
เมืองกระบี่,"2,417.00","557,125.00"
พืชไร่,"1,327.00","390,565.00"
ถั่วพุ่ม,26,"2,600.00"
ถั่วลิสง,119,"36,150.00"
เผือก,34,0
มันเทศ,46,0
สับปะรด,"1,095.00","351,815.00"
หญ้าเลี้ยงสัตว์,7,0
พืชผัก,"1,090.00","166,560.00"
ข่า,504,"59,000.00"
ข้าวโพดรับประทานฝักสด,42,"2,400.00"
ข้าวโพดหวาน,3,0
คะน้า,36,"14,460.00"
ชะอม,240,"55,500.00"
แตงกวา,62,"15,300.00"
แตงโมเนื้อ,10,0
ถั่วฝักยาว,63,"3,050.00"
ผักกวางตุ้ง,44,"14,050.00"
ผักบุ้งจีน,44,"2,800.00"
ฟักทอง,31,0
มะเขือเปราะ,11,0
เขาพนม,"1,995.50","4,831,700.00"
ข้าว,"1,800.00","4,495,000.00"
ข้าวไร่,"1,800.00","4,495,000.00"
พืชไร่,52,"102,600.00"
สับปะรด,20,"75,000.00"
ข้าวโพดหวาน,32,"27,600.00"
พืชผัก,128,"195,600.00"
แตงกวา,10,"24,600.00"
ถั่วฝักยาว,36,"74,800.00"
บวบ,20,"71,000.00"
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),35,"12,300.00"
มะเขืออื่นๆ,27,"12,900.00"
สมุนไพรและเครื่องเทศ (รต.01),15.5,"38,500.00"
กระชายดำ,0.5,"1,000.00"
ขมิ้นชัน,15,"37,500.00"
เกาะลันตา,309,"865,450.00"
พืชไร่,155,"547,000.00"
สับปะรด,155,"547,000.00"
พืชผัก,154,"318,450.00"
ข้าวโพดหวาน,12,"18,850.00"
แตงกวา,7,"17,000.00"
แตงโมเนื้อ,110,"275,000.00"
ถั่วฝักยาว,14,"7,600.00"
ฟักทอง,11,0
คลองท่อม,842,"348,862.00"
พืชไร่,510,"299,531.00"
สับปะรด,427,"299,531.00"
หญ้าเลี้ยงสัตว์,83,0
พืชผัก,332,"49,331.00"
ข้าวโพดหวาน,170,0
แตงโมเนื้อ,80,0
ผักกวางตุ้ง,38,"18,350.00"
ผักบุ้งจีน,44,"30,981.00"
อ่าวลึก,"2,340.00","372,510.00"
ข้าว,32,"6,850.00"
ข้าวไร่,32,"6,850.00"
พืชไร่,501,"36,700.00"
ถั่วลิสง,12,200
มันเทศ,13,0
อ้อยเคี้ยว,49,0
สับปะรด,407,"36,500.00"
มันสำปะหลังบริโภคสด,20,0
พืชผัก,"1,705.00","328,960.00"
ข่า,278,0
ข้าวโพดรับประทานฝักสด,33,0
ข้าวโพดหวาน,201,"100,650.00"
ตะไคร้,61,"9,500.00"
แตงกวา,173,"15,000.00"
แตงร้าน,135,"59,600.00"
ถั่วฝักยาว,187,"21,810.00"
บวบ,22,0
ผักกวางตุ้ง,23,0
ผักกาดขาวปลี,30,0
ผักบุ้งจีน,108,0
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),117,"11,700.00"
พริกใหญ่,26,0
ฟัก / แฟง,46,"32,000.00"
ฟักทอง,144,"76,400.00"
มะเขือเปราะ,85,"2,300.00"
เห็ดฟาง,36,0
ไม้ดอก,102,0
กล้วยไม้ (ไม้ตัดดอกเมืองร้อน),102,0
ปลายพระยา,"1,207.00","574,445.00"
ข้าว,272,"163,275.00"
ข้าวนาปี,272,"163,275.00"
พืชไร่,208,"39,110.00"
ถั่วปันหยี(ถั่วหรั่ง),1,0
ถั่วลิสง,15,"4,110.00"
มันเทศ,10,0
อ้อยเคี้ยว,109,0
สับปะรด,10,"35,000.00"
หญ้าเลี้ยงสัตว์,43,0
มันขี้หนู,1,0
มันหวานญี่ปุ่น,2,0
ถั่วดาวอินคา,5,0
ฟักทอง,12,0
พืชผัก,727,"372,060.00"
ขมิ้น,7,0
ข้าวโพดฝักอ่อน,5,0
ข้าวโพดหวาน,77,"48,770.00"
ชะอม,15,"2,970.00"
แตงกวา,31,"22,250.00"
แตงร้าน,15,0
ถั่วฝักยาว,15,0
ถั่วพู,4,960
พริกขี้หนูเม็ดเล็ก(ขี้หนูสวน),17,"2,240.00"
เห็ดฟาง,541,"294,870.00"
ลำทับ,181,620
